defaultkeyvalue,unmodifiablemapentry, 0.75,1,test the defaultkeyvalue class,test the unmodifiablemapentry class
end,beginning, 0.9,5,traverses to the end of the given iterator,traverses to the beginning of the given iterator,inserts the specified element at the end of this list,inserts the specified element at the beginning of this list,returns the element at the end of this list,inserts the specified element at the beginning of this list,returns the element at the beginning of this list,inserts the specified element at the end of this list,returns the element at the end of this list,returns the element at the beginning of this list
construct,need, 0.75,1,construct an empty map,need an empty singleton map
class,iterator, 0.833333333333333,1,inner class to view the elements,inner iterator to view the elements
loopinglistiterator,uniquefilteriterator, 0.75,1,tests the loopinglistiterator class,tests the uniquefilteriterator class
array,number, 0.75,2,the array of objects in the buffer,returns the number of elements stored in the buffer,the array of buckets,the number of buckets is never below
bag,collection, 0.888888888888889,7,read the bag in using a custom routine,read the collection in using a custom routine,write the bag out using a custom routine,write the collection out using a custom routine,factory method to create a synchronized bag,factory method to create a synchronized collection,it is normally created to decorate an empty bag,it is normally created to decorate an empty collection,gets the bag being decorated,gets the collection being decorated,an empty unmodifiable bag,an empty unmodifiable collection,gets the bag being decorated,the collection being decorated
entry,cursor, 0.75,1,constructs a new entry,constructs a new cursor
current size,entryset view, 0.714285714285714,1,gets the current size of the map,gets the entryset view of the map
remove,returns, 0.8,1,remove the element at the specified position in the list,returns the element at the specified position in this list
iterator,value, 0.714285714285714,1,sets the iterator at the given index,sets the value at the specified index
compositeset,compositecollection, 0.75,1,create an empty compositeset,create an empty compositecollection
one,two, 0.857142857142857,2,removed element at index one,removed element at index two,remove element at position one in array,remove element at position two in array
map,hashmap, 0.75,1,map created by reset,hashmap created by reset
iteratorchain,comparatorchain, 0.9,2,determine if modifications can still be made to the iteratorchain,determine if modifications can still be made to the comparatorchain,number of iterators in the current iteratorchain,number of comparators in the current comparatorchain
abstractsetdecorator,abstractlistdecorator, 0.75,1,serializable subclass of abstractsetdecorator,serializable subclass of abstractlistdecorator
contains,containsall, 0.875,1,make sure calls to contains dont change anything,make sure calls to containsall dont change anything
collection,value, 0.75,1,gets the collection mapped to the specified key,gets the value mapped to the specified multi-key
entry,singleton, 0.833333333333333,1,sets the value of the entry,set sets the value of the singleton
map,collections, 0.8,1,gets the map being decorated,gets the collections being decorated
map,byte, 0.833333333333333,1,converting the result into a map,converting the result into a byte
serializes,writes, 0.714285714285714,1,serializes this map to the given stream,writes this object to the given output stream
map,keys, 0.833333333333333,8,gets an iterator over the map,gets an iterator over the keys,an iterator over the map,gets an iterator over the keys,view of the keys,gets the keyset view of the map,view of the keys,gets the values view of the map,view of the keys,gets a values view of the map,view of the keys,gets a keyset view of the map,view of the keys,gets the entryset view of the map,view of the keys,gets an entryset view of the map
string,number, 0.833333333333333,1,converting the result into a string,converting the result into a number
next,right, 0.75,1,gets the next node,gets the right node
beanmap,boundedfifobuffer, 0.75,1,test cases for beanmap,test cases for boundedfifobuffer
loopingiterator,uniquefilteriterator, 0.75,1,tests the loopingiterator class,tests the uniquefilteriterator class
map,predicate, 0.8,2,the map to decorate,the predicate to decorate,gets the map being decorated,gets the predicate being decorated
dummyvalue,factory, 0.75,1,the dummyvalue to use,the factory to use to construct elements
bag,map, 0.888888888888889,14,write the bag out using a custom routine,write the map out using a custom routine,read the map in using a custom routine,read the bag in using a custom routine,factory method to create a fixed size sorted map,factory method to create a synchronized sorted bag,factory method to create a synchronized sorted bag,factory method to create a lazily instantiated sorted map,removes the specified key from the map,removes all copies of the specified object from the bag,it is normally created to decorate an empty map,it is normally created to decorate an empty bag,an empty unmodifiable sorted map,an empty unmodifiable sorted bag,compares this map to another,compares this bag to another,gets the bag being decorated,gets the map being decorated,an empty unmodifiable bag,an empty unmodifiable map,returns the number of elements in this bag,returns the number of key-value mappings in this map,the current total size of the bag,gets the current size of the map,the size of the map,the current total size of the bag,the size of the map,the current total size of the bag
adds to,removals from, 0.8,1,subclasses could override to fully control adds to the map,subclasses could override to fully control removals from the map
null keys,duplicate values, 0.8,1,override if your collection class does not support null keys,override if your collection class does not support duplicate values
